Date,Category,Amount
2024-01-05,Entertainment,14800
2024-02-05,Entertainment,14836
2024-03-30,Entertainment,14584
2024-03-30,Entertainment,14832
2024-05-10,Food,14661
2024-05-22,Food,14723
2024-05-28,Food,14214
2024-06-08,Utilities,14387
2024-06-19,Entertainment,14959
2024-07-02,Transport,14423
2024-08-18,Rent,14970
2024-09-09,Food,14594
2024-09-15,Entertainment,14388
2024-11-04,Food,14999
2024-12-30,Utilities,14994
2025-01-11,Food,14394
2025-01-20,Utilities,14364
2025-01-27,Rent,14456
2025-02-01,Shopping,14271
2025-02-04,Rent,14822
2025-02-22,Shopping,14568
2025-03-28,Transport,14527
2025-04-15,Transport,14396
2025-04-17,Utilities,14514
2025-04-19,Shopping,14299
2025-05-11,Rent,14375
2025-05-20,Shopping,14215
2025-08-16,Health,14888
2025-08-31,Utilities,14890
2025-10-20,Utilities,14431
2025-11-19,Utilities,14397
2025-12-02,Shopping,14659
2026-01-08,Transport,14537
2026-01-18,Rent,14627
2026-02-14,Entertainment,14239
2026-02-25,Food,14235
2026-03-02,Utilities,14277
2026-03-12,Utilities,14746
2026-03-29,Entertainment,14651
2026-04-01,Transport,14763
2026-04-08,Entertainment,14677
2026-05-06,Entertainment,14788
2026-05-20,Food,14849
2026-06-09,Health,14213
2026-06-26,Shopping,14946
2026-07-08,Transport,14726
2026-07-08,Shopping,14551
2026-07-13,Food,14209
2026-07-23,Rent,14726
2026-08-10,Transport,14310
